#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g14_Re     g14_Im
17.6871666 -0.0072412 -0.1063321  0.0030469 -0.0004235  0.0000087 -0.0000067
17.7499985 -0.0074355 -0.1057428  0.0030122 -0.0003735  0.0000028  0.0000049
17.8128303 -0.0075395 -0.1047423  0.0030888 -0.0002643 -0.0000048 -0.0000044
17.8756622 -0.0074591 -0.1054500  0.0025962 -0.0004042 -0.0000030 -0.0000077
17.9384941 -0.0072222 -0.1050235  0.0027640 -0.0002294 -0.0000030  0.0000067
18.0013259 -0.0077112 -0.1045731  0.0026722 -0.0004409  0.0000024 -0.0000035
18.0641578 -0.0074032 -0.1039160  0.0028458 -0.0004717  0.0000023 -0.0000027
18.1269896 -0.0068728 -0.1038739  0.0028217 -0.0001592 -0.0000025  0.0000070
18.1898215 -0.0068733 -0.1036469  0.0026975 -0.0004994  0.0000001 -0.0000020
18.2526533 -0.0071410 -0.1043509  0.0026992 -0.0004664  0.0000030 -0.0000011
18.3154852 -0.0070424 -0.1031621  0.0027768 -0.0003139 -0.0000101 -0.0000090
18.3783170 -0.0071906 -0.1017980  0.0027815 -0.0001562  0.0000004  0.0000025
18.4411489 -0.0066994 -0.1021687  0.0025318 -0.0003690  0.0000038 -0.0000024
